message_id,subject,body,category
<10627593.1075856317785.JavaMail.evans@thyme>,all about current and near future gaspower market,it all here comment appreciated best regard jhherbert june pdf,"Company Business, Strategy, etc."
<27257346.1075857696411.JavaMail.evans@thyme>,re fw capital charge allocation,where are you i hear your already living the new life sick last week vacation this week buying land in colorado next week lavo,Purely Personal
<23963712.1075845563029.JavaMail.evans@thyme>,re tdc energy,try to grab me today on this stuff john,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<6082315.1075857730753.JavaMail.evans@thyme>,re a resume canadian trader,vince where did this resume come from and is he still employed by the national bank in monteal,"Employment arrangements(job seeking, hiring, recommendations, etc)"
<16749298.1075857635489.JavaMail.evans@thyme>,re power gen,youre right thoughit seems like bo and i are always on the opposite side of each other,Personal but in professional context
<16496757.1075861671932.JavaMail.evans@thyme>,trv notification ng propt pl 11262001,the report named ng propt pl httptrvcorpenroncomlinkfromexcelaspreport_cdreport_namengproptplcategory_cdcategory_namefinancialtoc_hidestvtvexpycurrent_efct_date published a of is now available for viewing on the website,"Payroll, finance, accounting etc."
<16242323.1075845551415.JavaMail.evans@thyme>,re parking,so your overrulling me again,Purely Personal
<16710670.1075852725952.JavaMail.evans@thyme>,re i want my two dollar,what money i dont know what youre talking about,Purely Personal
<18566414.1075843764361.JavaMail.evans@thyme>,re brief summary of today activity in california at least,i have asked john klauberg of leboeuf lamb to look at the letter are we using bracewell on matter relating to the px i do not know who ron carroll is jeff on pm sent by jeff vicki cc brief summary of today activity in california at least thus far vicki do we need to add the px letter to the agenda for tomorrow am call if so make sense to have bracewell ron carroll and mike day on a well jeff,"Company Business, Strategy, etc."
<6101672.1075857685823.JavaMail.evans@thyme>,re canada position by trader,thanks,Purely Personal
<32285608.1075857635148.JavaMail.evans@thyme>,date revised your invitation to enrons executive forum 1st,please add,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<4833383.1075857639867.JavaMail.evans@thyme>,re hj,agree guy are short hj hard to see a big move with cashfutures trading flat agree that it ha some squeeze potential though started moving today a simultaneously march started running up and j aron won a big customer deal customer maybe a hedge fund bot jv put weather frustrating me too a little long but it in the back so i havent been hurt sure would be nice to get some more weather and have this thing start going crazy again seen liquid processing come back on at these level would guess more than ha from peak industrial demand different story industrial economy just so weak that many petchems and others are burning le because of their market not fuel cost chrystler is a prime example any switching back to gas from industrial or switching back to domestic production from overseas muted by weak economy on am cc hj ive been short side just reversed in case weatherplus i think everyone and his brother short hj agree mite take a loss on it but seems low risk next day or two from ct this weather pissing me off tho you see much industrial demand and changeover in fuel switching t this feb mar px level my source saying yes hope all is well talk soon,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<23941624.1075853769549.JavaMail.evans@thyme>,photo,baby shower photo from last night,Purely Personal
<4821612.1075842201964.JavaMail.evans@thyme>,deal coordination list 24 may 2001,attached is the current list of transaction being coordinated with ew please let me know of any additional transaction that need to be added jim,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<6022657.1075857979607.JavaMail.evans@thyme>,for whom the bell toll,i suppose by now youve each received the email turd that anthony threw in your punchbowl this morning when you can give me a call or email me with detail on how youd like to settle and the response im looking for is not never if i dont talk to you today have a nice overseas thanksgiving brad richter,Personal but in professional context
<24182329.1075842115547.JavaMail.evans@thyme>,isda matter,jeff the isda master that enron north america corp ha in place with hess is with hess energy trading company llc and is dtaed carol,"Company Business, Strategy, etc."
<13993253.1075860790416.JavaMail.evans@thyme>,4q list,hey all just thought id update contact information please let me know if anything need updating also missing most people bdays spouseschildren for those that these apply to separately just a quick update on my search while im far from completing anything a some of you in the ma world know better than me ive recently signed a letter of intent with a private equity team to purchase a natural organic food company in denver very excited spending full time doing due diligence plus since there always high odds that it will not happen working on adding new thing to the pipeline yell if you have any idea talk soon andy _______________________________ andrew s whitman n larrabee chicago il phone fax mobile email _______________________________,Personal but in professional context
<30110660.1075857687615.JavaMail.evans@thyme>,re 1212 loss notification,we lost of the money on our west basis position we lost the other on fixed price length,"Company Business, Strategy, etc."
<23406879.1075857659164.JavaMail.evans@thyme>,re o come all ye fabulous,hey any interest in seeing cirque du soleil saturday,Purely Personal
<8165111.1075852727151.JavaMail.evans@thyme>,re,good morning my sled hows it going just woke upi know i know must be nice anyway just wanted to leave you a quick message before i get out of here thanks for dinner i had a really good time and it wa good to meet cha in person have a great day d re fri sep im running out the door to go drinking with the boy at front porch right next to my apartment i dont think your dad would like me so much will explain later sorry about your day maybe you can find some happiness in the book of prayer maybe you can find more happiness in the money talk to you later,Purely Personal
<23222829.1075842193429.JavaMail.evans@thyme>,progress report ew coordination,attached is a progress report on the agenda item that were prepared in our last meeting we can discus completion item during our meeting tomorrow jim,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<2553258.1075845655810.JavaMail.evans@thyme>,oh just a change or two,here ti i dont think it compared the chart but it found lot of other thing to compare kay,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<25040064.1075845281277.JavaMail.evans@thyme>,re,whats the website you bought the adirondack chair off of we are looking to pick up a couple more kr,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<22850960.1075857690206.JavaMail.evans@thyme>,re,can we get more critical mass our portland guy ie wolfe might have some montana counterpart,Purely Personal
<24446090.1075852704426.JavaMail.evans@thyme>,re,a well a could be expected given the circumstance however there is no way to explain away the underlying conflict of interest and error in judgment of the fastow thing,Personal but in professional context
<30653468.1075849627227.JavaMail.evans@thyme>,re compaq update,fyi our position is either pay the million termination fee or pay the million toward compaq future purchase you will see a bcc of my email to bob and rob my reason for the blind copy is that i want to ensure that this communication is between bob and our group kim,"Company Business, Strategy, etc."
<5951235.1075860787963.JavaMail.evans@thyme>,pira,fella presto ha asked me to be the contact to allan stewart at pira with regard to setting up an arrangement for their consulting service im currently having informationgathering discussion over service and fee for both gas and power in both the east and west in order to fully incorporate everyones need into our arrangement with pira ill be contacting you this week to gather request or if you know what you need please just reply to me with the specific information thanks fletch,"Company Business, Strategy, etc."
<18180836.1075849624184.JavaMail.evans@thyme>,update of ee list,fyi,"Company Business, Strategy, etc."
<17711440.1075857686425.JavaMail.evans@thyme>,re pen and plane,seems like a fair trade lavo,Personal but in professional context
<31492071.1075842207371.JavaMail.evans@thyme>,call,john your time work for me just call me when everyone is available on your end thanks carol st clair eb phone fax,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<11259647.1075857604015.JavaMail.evans@thyme>,re waiting,probability payout head tail head tail head tail head tail head eva pao on pm please respond to cc re waiting which game is that,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<16138662.1075854326698.JavaMail.evans@thyme>,good news for you,grab me when you get a minute i have your bonus and merit info youre going to like it d,"Payroll, finance, accounting etc."
<6555446.1075852710790.JavaMail.evans@thyme>,re extra credit,no crap whats your bid eva pao on am please respond to cc extra credit break even on info asssymetry is any project above that level is profitable to pooksco,"Company Business, Strategy, etc."
<16135574.1075845552790.JavaMail.evans@thyme>,re palladium fund,thanks for the update and good job in handling this,"Company Business, Strategy, etc."
<24269884.1075861703057.JavaMail.evans@thyme>,erv notification enron america position report 11142001,the report named enron america position report httpervcorpenroncomlinkfromexcelaspreport_cdreport_nameenronamericaspositionreportcategory_cdcategory_nameenronconsolidatedtoc_hidestvtvexpycurrent_efct_date published a of is now available for viewing on the website publisher note preliminary,"Company Business, Strategy, etc."
<24201018.1075857699038.JavaMail.evans@thyme>,re,we are ok for people in power trading alberta,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<2878282.1075857691635.JavaMail.evans@thyme>,re chris lambie,if he show up for work again can you get him to call me,Personal but in professional context
<14500529.1075857726478.JavaMail.evans@thyme>,newsprint stats note on eolclickpaper,figure out how to print this file on one or two page that is readable,Document editing/checking(collaboration)
<29802127.1075845555203.JavaMail.evans@thyme>,alberta ppa,please see the attached alberta ppa presenation please make review and if you have any modification please get with john a soon a possible kim hillis x,Document editing/checking(collaboration)
<2328360.1075852713400.JavaMail.evans@thyme>,re aga forecast,i think ive got yahoo somewhere on my computer ill try to find it expecting today still think were not at fundamental equilibrium but scared that a much a i hate technical the wave is over and we can do some serious chop here if we didnt have expiry in day id be worried about a short covering rally however i think the market is going to have a hard time placing the baseload gas this month the storage guy are all above their target right now and expect them to back off relative to last month,"Company Business, Strategy, etc."
<30952508.1075845563657.JavaMail.evans@thyme>,re management report,janet communication is always a problem around here i have no problem with you having access to all pricing report and origination schedule,"Company Business, Strategy, etc."
<14696964.1075840561373.JavaMail.evans@thyme>,,hey sugar how are you doing i think i will be able to get home around is that okay also there are a few ubs people flying in tonite that i have been asked to go to dinner with them it should be an early dinner probably around is that okay mike dutch and i have been asked to go to dinner with them call me when you get a chance love and miss you very much the pig,Personal but in professional context
<11043063.1075857751663.JavaMail.evans@thyme>,re qbr,chris ask dave he is still the king of your world in my mind,"Company Business, Strategy, etc."
<19059041.1075857612092.JavaMail.evans@thyme>,re destiny child,you will have tix make your plan liz m taylor am john cc destiny child john any word on the ticket if i can get just four that would be just fine if not please no worry many thanks liz,Purely Personal
<9406872.1075852710144.JavaMail.evans@thyme>,lexisnexis training houston worldwide dow jones training,esource present lexisnexis training basic lexisnexis basic is geared to the novice or prospective user you will learn the basic of getting around nexiscom we will talk about news and company information available on lexisnexis attend our lexisnexis basic clinic november pm eb due diligence this session will focus on the specific company public record and other source available on lexisnexis that help you find all possible aspect of a company business and strength or liability attend our lexisnexis due diligence clinic november pm eb seat fill up fast to reserve a seat please call stephanie e taylor at the cost is per person noshows will be charged please bring your lexisnexis login id and password if you dont have one a guest id will be provided esource present free lexisnexis online training using placeware an interactive web learning tool you can participate in this training session from anywhere in the world basic lexisnexis basic is geared to the novice or prospective user you will learn the basic of getting around nexiscom and of the news and company information available on lexisnexis attend our lexisnexis basic online clinic november am central standard time please rsvp to stephanie e taylor at or we will email instruction for placeware to you note if the time scheduled is not convenient to your time zone please let u know so we can schedule other session esource present dow jones interactive training introduction to dow jones interactive personalizingcustomizing dji and custom clip you will learn how to tailor dji to display information that is most helpful to you you will learn how to create your own personal news page to view headline from your chosen publication and your custom clip folder custom clip can be set up to automatically send to you important news about any key topic or company information that affect your business decision attend one of our dow jones interactive basic clinic november pm eb november pm eb advanced learn how to be more efficient on dow jones interactive put some power tool to work for you learn how to employ code use search history and customize hand on time is provided attend our dow jones interactive advanced clinic november pm eb seat fill up fast to reserve a seat please call stephanie e taylor at the cost is per person noshows will be charged check the esource training page at httpesourceenroncomtraininghtm for additional training session and vendor presentation,"Company Business, Strategy, etc."
<11635159.1075842207695.JavaMail.evans@thyme>,ecp language,enclosed is a summary of the eligible contract participant definition carol st clair eb phone fax,"Company Business, Strategy, etc."
<9166571.1075857670140.JavaMail.evans@thyme>,deal,last week we just signed a month very small deal mw interruptible rmwh at busbar we signed contract for past transaction tradeneritambe and aessul best regard remi,"Company Business, Strategy, etc."
<23583461.1075857702627.JavaMail.evans@thyme>,feb reg update report,tammy here is the report from government affair thanks jim,"Company Business, Strategy, etc."
<21498568.1075857590397.JavaMail.evans@thyme>,re job opportunity from idrc,take me off your mail list on pm cc job opportunity from idrc idrc job opportunity posting date received september position property director company regus business centre corp location northeast usa for complete detail go to httpsiteconwaycomjoboppsjobdetailcfmid to see all job posting go to httpsiteconwaycomjoboppsjobresultcfm,"Employment arrangements(job seeking, hiring, recommendations, etc)"
<19103744.1075857650985.JavaMail.evans@thyme>,re pulaski,remind jim how the hjk spread acted this year granted it wont behave that way again until close to expiry but i like the jk outright much moreso than the condor caroline pm john cc pulaski,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<4880238.1075863336982.JavaMail.evans@thyme>,the woodland offsite lay,please attend the management committee meeting scheduled for pm on wednesday august in the boardroom several member of the committee will join the meeting by videoconference and audio conference also please note that there will be an offsite meeting at the woodland on september and beginning with a dinner meeting on september with an all day meeting on september please call if you have any question rosie,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<13956007.1075857677588.JavaMail.evans@thyme>,reminder trader roundtable meeting,there will be a trader roundtable meeting today at pm in eb please let me know if you are unable to attend thank you jennifer,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<13231643.1075852700619.JavaMail.evans@thyme>,do you owe money,do you owe money is it getting troublesome keeping track of all those bill and whom you owe how much and when would it not be easier if you could just make monthly payment instead of several we can help if your debt are u or more and you are a united state citizen you can consolidate your debt into just one easy payment you do not have to own a home nor do you need to take out a loan credit check are not required to receive more information regarding our service please fill out the form below and return it to u or provide the necessary information in your response there are absolutely no obligation all the field below are required for your application to be processed full name address city state zip code home phone work phone best time to call email address estimated debt size please allow upto ten business day for application processing thank you note if this email arrived to you by error or you wish to never receive such advertisement from our company please reply to this email with the word remove in the email subject line we apologize for any inconvenience lsfdx,"Payroll, finance, accounting etc."
<6551177.1075852726948.JavaMail.evans@thyme>,lng,john the enron deal at elba island amount to a sendoout capacity of mmcfd for year this will be tough to fill a the majority of existing supply exceeds the max heat ratei would look for enron to get out of this in some way enron is currently having discussion with el paso a to whether this contract go into effect oct st or jan st elba island ha recently said that they will be running in q although many still doubt it attached is a file that list the terminal their capacity owner facility owner expansion plan and supply situation let me know if you have any more question,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<1099600.1075845541207.JavaMail.evans@thyme>,re request for bio,john lavorato joined enron in august a an associate moved to calgary and built canadian business made president of canada in early moved back to houston early in to run north american trading named coo enron north america in august undergrad in canada university of western ontario mba northwestern cfa if you need anything else give me a call john,"Company Business, Strategy, etc."
<28759618.1075857638433.JavaMail.evans@thyme>,re buying back call,michael thanks for putting the paperwork together i would have interest in meeting if you can present unique investment opportunity that i dont have access to now most of my contact with financial advisor in the past ha consisted of them suggesting a mutual fund telling me to invest in home depot sun and coke or trying to pas off their bank biased research report a something valuable the above service provide no value to me personally if you can present opportunity such a access to private equity or hedge fund or other idea with strong growth potential and low correlation to the id listen john michael gapinski on am cc rafael herrera re buying back call john well get the paperwork together and sent to you for naked option at some point id like to talk about the diversification strategy in more detail perhaps over dinner or a quick meeting after the market close michael gapinski account vice president emery financial group painewebber inc x fax cell,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<6534480.1075857639998.JavaMail.evans@thyme>,re access training please respond,check with mike and dutch can they come any earlier ina rangel pm john cc access training please respond john the guy from nymex can not come until next week thursday at it will last at a minimum of three hour and a maximum of hour which is unlikely there is nothing on your calendar for that day will this day and time work for you let me know and then i will send an email out to the desk to make arrangement to attend the meeting that day ina,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<12674426.1075857745692.JavaMail.evans@thyme>,re ft energy,i take it back i am familiar and i think you guy did a great job getting this done with them this is a great first step in our ultimate goal,"Company Business, Strategy, etc."
<23830298.1075857605155.JavaMail.evans@thyme>,re risk magazine interview,jennifer i dont think we have much interest in doing this interview since it primarily pertains to our view of the market i would speak in such generality that it probably wouldnt be a good interview john jennifer am john cc risk magazine interview john kevin foster with risk magazine is working on an article for the june issue regarding gas market in the u basically he is interested in enrons opinion of physical supplydemand of gas and how this is affecting financial trade where do we anticipate gas price going over the summer the state of the industryany major issue that may affect the market if this sound like a story we would be interested in doing please let me know and i will coordinate a short phone interview with kevin foster i know it usually work best for your schedule to do this after pm so please let me know if tuesday after would be good for you thanks for your help and please call me with any question jennifer walker public relation x,"Company Business, Strategy, etc."
<19602061.1075857730646.JavaMail.evans@thyme>,re aga membership,chris is it true that we get the info first from the aga,"Company Business, Strategy, etc."
<29966729.1075845532356.JavaMail.evans@thyme>,re epmi selling power in canada,kevin i agree if we ultimately trade out of toronto the pl responsibility will probably role into you it look like we were trying to close garret tripp associate to move to toronto and start looking at this stuff if he is going you should meet with him before he go,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<436524.1075857649853.JavaMail.evans@thyme>,re extra credit,rule to a game you flip a coin if you get tail you win if you get head i give you keep flipping until you get a tail at which point you walk away with the money however each head you get after the first you double your money so if you flip head time and then tail you get whats you bidoffer on playing this game would you pay to play what you charge me play against you,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<33115973.1075842109155.JavaMail.evans@thyme>,re fw nanny recommendation,hope you are doing well and had a great thanksgiving sarah number at the office is take care trina,Personal but in professional context
<22448070.1075861675831.JavaMail.evans@thyme>,aig position,john a discussed the aig exposure is mm and it is distributed among the price option and exotic book the attached spreadsheet detail the dollar value and volume by month by book please call if you have question tanya,"Company Business, Strategy, etc."
<16345695.1075857608136.JavaMail.evans@thyme>,re power gen,fyi bo is a big put buyer and fence seller today though he is trying to defend j on pm cc power gen agree on view a u cud tell i got a little le bearish for a bit so i delta hedged and day traded to keep from losing a ton let go og the delta after aga number which wa exactly on my forecast still implying bcf swingi actually thot it could have been worse so my range pre wa basis past cupla week aga that said i with you took my lump having a very good month in petro helped me hold on to natgas shit pl got most of it back now thotrying to be more patient think we hold s for another week or somust be plenty chopped up trader mite mean we lose some momentum for a bit what the hell wa going on today between you and boseems i see this more and more how come he always seems to be fighting you on this stuff if he would go the same way a youand i this mkt would just crap either way im unwindinggonna be making a jump soonthats pc for the moment will keep u informed of course power gen up last week and cal rate hike the kiss of death for demand in cal this summer i think on pm steve cc fax to power gen wow what a week so far beauty of a short squeeze early on even some of the biggest bear i know were covering to reestablish when the market lost it upward momentum unfortunately my boat is too big to play that way take too long to put the size of the position i manage on or off to play that game just had to sit back and take my lump couldnt have been a more bearish aga in my opinion got one more decent one and then watch out below amazing that weve had more demand destruction recently the economy is the pound gorilla that is sitting on nat gas and it aint getting up,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<14782173.1075857690997.JavaMail.evans@thyme>,re analyst prc representative director nomination,aucoin,"Company Business, Strategy, etc."
<5317677.1075842202487.JavaMail.evans@thyme>,re letter of credit preference swap transaction,the special protection under the bankruptcy code is not limited to swap section e protects margin payment and settlement payment which are made by or to a commodity broker forward contract merchant stockbroker financial institution or security clearing agency and the definition of swap agreement for purpose of section g includes commodity swap but your point is well taken because there seems to be no special protection for agreement that involve transaction covered by different subsection or that involve some transaction that are covered by the special protection and some that are not this issue may be even more important outside the letter of credit context there are special exemption from the automatic stay in section of the bankruptcy code for setoff under swap agreement and commodity contract but like section these exemption are in separate subsection and do not clearly provide for setting off transaction covered by one subsection against transaction covered by one of the other subsection or against transaction not covered by the exemption at all i can imagine setting up netting arrangement with several stage of netting both to take maximum advantage of the exemption in the bankruptcy code and to get a clear picture of the credit exposure with a particular counterparty first you would net all the transaction covered by each subsection then you might net the transaction covered by the different subsection then you would net the resulting number against transaction not covered by any of the exemption perhaps you do that already please let me know if you would like to discus this subject in more detail,"Payroll, finance, accounting etc."
<15351836.1075845548982.JavaMail.evans@thyme>,roce,john ive had a couple of question regarding roce and trader goal if it is okay with you i would like to see the goal and objective you laid out to be of better service to desk head right now im goal searching so that i can be better this type of information may help me in formulating a game plan i understand that all youve ever asked for is that the trader understand var and that var be more accurate but im trying to take this risk management game to the next level let me know if this work for you if not maybe we could discus this later maybe over beer frank,"Company Business, Strategy, etc."
<23190382.1075845544540.JavaMail.evans@thyme>,re holiday dinner,kim can you also invite mike robert,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<21348776.1075852710699.JavaMail.evans@thyme>,re extra credit,have you taken any finance course yet whats good,"Payroll, finance, accounting etc."
<15428142.1075857725434.JavaMail.evans@thyme>,valueatrisk for nbsknewsprint,john look like my backoftheenvelope wa off a bit bob,"Company Business, Strategy, etc."
<27309467.1075841945651.JavaMail.evans@thyme>,price reservation 26 january 2002 realtime and hourahead,the nyiso is reserving hour beginning and in the january realtime market in addition the nyiso is reserving hour beginning in the january hourahead locational reserve market price in the january dayahead market are correct please note that market monitoring will no longer be reserving price due to ecab code modification were made on december th to incorporate into the realtime price the bme price in the presence of congestion the incorporation is now an automatic process that is prescribed by the nyiso tariff this message will appear in price reservation announcement through january this email information is a copy of the official posting which can be found at the following address of our website httpmisnyisocompublichtmopermessagescurrentopermessageshtmmm you are currently subscribed to nyiso_tie a to unsubscribe send a blank email to,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<28693806.1075852693521.JavaMail.evans@thyme>,market update,hey john i shot myself in the foot friday when i sent you the email update i wrote a line saying that if nov gas broke under it wa shortterm bearish i decided to remove it at the very last moment would have looked a bit smarter but thats life here is this week comment energydoc,"Company Business, Strategy, etc."
<31095424.1075852694121.JavaMail.evans@thyme>,re,when is brian tracy coming to town or doe he use eol too and well never see him again,Purely Personal
<32100119.1075852697061.JavaMail.evans@thyme>,credit watch listweek of 101501,attached is a revised credit watch listing for the week of please note that bethlehem steel corporation wa placed on no trade progas inc and sanchez oil gas corporation were placed on call credit if there are any personnel in your group that were not included in this distribution please insure that they receive a copy of this report to add additional people to this distribution or if this report ha been sent to you in error please contact veronica espinoza at x for other question please contact jason r williams at x veronica espinoza at x or darren vanek at x,"Company Business, Strategy, etc."
<33213737.1075852711385.JavaMail.evans@thyme>,re,maybe we need a closer in that seat kim on pm john cc re he a cheapskate i am just sitting here on the edge of my seat with three customer that wont pull the trigger,Purely Personal
<23972750.1075857651136.JavaMail.evans@thyme>,re receipt of hedge fund information,may be looking to sell some naked call soon can you check that i would be approved to sell of either or s expiring somewhere between juljan also if i sell naked call with a tenor of more than one year that expire worthless do the gain get counted a lt cap gain,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<14826617.1075857590239.JavaMail.evans@thyme>,re,please schedule me for from celeste robert pm celeste cc bcc john arnoldhouect urgent the associate and analyst recruiting department will be conducting a number of two hour workshop to review our recruiting and interview process for the fall oncampus recruiting effort critical information regarding our oncampus interview process revised evaluation form and program structure will be reviewed during these two hour session it is mandatory that all team member attend these workshop all team member must attend in order to articulate and demonstrate the enron recruiting process knowing how busy schedule are we have made arrangement to present these workshop in two hour session for a total of workshop that will run during the last week of august through the month of september and end at mid october listed below are the date location and time for each session please select a date and time and email this information to my assistant dolores muzzy we can accommodate participant at a time dolores will take date and time on a first come first serve basis we have scheduled enough session to accommodate every member of both the associate and analyst recruiting team in order to participate in the recruiting process you must attend one of these session we will be tracking participation cpe credit will also be given for attending this workshop,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<1520433.1075857700140.JavaMail.evans@thyme>,mtg wkeith dodson,asst barbara hook x,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<30462869.1075861712840.JavaMail.evans@thyme>,erv notification enron america position report 11202001,the report named enron america position report httpervcorpenroncomlinkfromexcelaspreport_cdreport_nameenronamericaspositionreportcategory_cdcategory_nameenronconsolidatedtoc_hidestvtvexpycurrent_efct_date published a of is now available for viewing on the website publisher note prelim,"Company Business, Strategy, etc."
<15016010.1075857677869.JavaMail.evans@thyme>,saturday 0602 weather 4kz,good morning the overall pattern look unchanged from our view a of friday earthsat ha a similar view,"Company Business, Strategy, etc."
<29735520.1075852712771.JavaMail.evans@thyme>,re loss limit notification for april 11th and 12th,the mm loss wa due to a booking mistake that could not be corrected before the book were posted and is being corrected tonight chris abel pm mike john cc frank kenneth shona loss limit notification for april th and th mike can you please provide an explanation for the mm loss on the th and the mm loss on the th for reporting purpose john can you please provide an explanation for the mm loss on the th for reporting purpose thanks chris abel manager risk control and consolidated risk reporting,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<1564895.1075845596781.JavaMail.evans@thyme>,re cpcn proceeding ag intervention,please note,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<4349562.1075855216617.JavaMail.evans@thyme>,re how go it,thing are okay may be much better in a week or two can you email me an update of how the hedge fund are doing i may have another chunk of money to invest should you have any good opportunity lying around still mainly interested in alternative investment with you also can you confirm my address i have moved recently and dont know if you have the new one bagby houston,"Company Business, Strategy, etc."
<9183989.1075852688747.JavaMail.evans@thyme>,trv notification ng propt pl 10042001,the report named ng propt pl httptrvcorpenroncomlinkfromexcelaspreport_cdreport_namengproptplcategory_cdcategory_namefinancialtoc_hidestvtvexpycurrent_efct_date published a of is now available for viewing on the website,"Payroll, finance, accounting etc."
<32105448.1075861705051.JavaMail.evans@thyme>,employee morale,john a dangerous environment is brewing on the trading floor we have very large position and people are becoming more frustrated with the work environment uncertain about future employment and now with new information about lay golden parachute i am concerned that not everyone may act in the best interest of the company hero or zero attitude or at a minimum may not be in the best frame of mind to trade i hate to suggest it but do you need to reduce the people allowed to take risk for the company similar to what wa done when we sold hpl the general feeling is that everyone at the top is taking care of themselves and the little people that have been making the money for the company are left out in the cold i also suggest that you move quickly to ensure appropriate compensation for key trader into next year i know the first move i suggested would have the effect of reducing morale further but this group ha a lot of risk on for people that may not be commited to enron this may be too drastic action at this point but i think it should watched closely,"Company Business, Strategy, etc."
